u,v,moda,periode,w
Surabaya,Balikpapan,KBRG,1,4
Surabaya,Samarinda,KBRG,1,4
Surabaya,Palu,KBRG,1,4
Surabaya,Manado,KBRG,1,4
Surabaya,Kendari,KBRG,1,4
Surabaya,Jakarta,KPNG,1,6
Surabaya,Makassar,KPNG,1,6
Surabaya,Ambon,KPNG,1,6
Surabaya,Ternate,KPNG,1,6
Surabaya,Manado,KPNG,1,6
Surabaya,Manokwari,KPNG,1,6
Surabaya,Jayapura,KPNG,1,6
Surabaya,Kupang,KPNG,1,6
Surabaya,Jakarta,KRTA,1,2
Surabaya,Semarang,KRTA,1,2
Surabaya,Cirebon,KRTA,1,2
Surabaya,Tegal,KRTA,1,2
Surabaya,Purwokerto,KRTA,1,2
Surabaya,Bandung,KRTA,1,2
Surabaya,Solo,KRTA,1,2
Surabaya,Yogyakarta,KRTA,1,2
Surabaya,Tasikmalaya,KRTA,1,2
Surabaya,Jember,KRTA,1,2
Surabaya,Malang,KRTA,1,2
Tarakan,Pontianak,TRUK,1,15
Tarakan,Palangkaraya,TRUK,1,15
Tarakan,Banjarmasin,TRUK,1,15
Tarakan,Balikpapan,TRUK,1,15
Tarakan,Samarinda,TRUK,1,15
Tasikmalaya,Serang,TRUK,1,15
Tasikmalaya,Jakarta,TRUK,1,15
Tasikmalaya,Bandung,TRUK,1,15
Tasikmalaya,Cirebon,TRUK,1,15
Tasikmalaya,Tegal,TRUK,1,15
Tasikmalaya,Purwokerto,TRUK,1,15
Tasikmalaya,Yogyakarta,TRUK,1,15
Tasikmalaya,Semarang,TRUK,1,15
Tasikmalaya,Solo,TRUK,1,15
Tasikmalaya,Kediri,TRUK,1,15
Tasikmalaya,Malang,TRUK,1,15
Tasikmalaya,Surabaya,TRUK,1,15
Tasikmalaya,Jember,TRUK,1,15
Tasikmalaya,Bandung,KRTA,1,2
Tegal,Serang,TRUK,1,15
Tegal,Jakarta,TRUK,1,15
Tegal,Bandung,TRUK,1,15
Tegal,Tasikmalaya,TRUK,1,15
Tegal,Cirebon,TRUK,1,15
Tegal,Purwokerto,TRUK,1,15
Tegal,Yogyakarta,TRUK,1,15
Tegal,Semarang,TRUK,1,15
Tegal,Solo,TRUK,1,15
Tegal,Kediri,TRUK,1,15
Tegal,Malang,TRUK,1,15
Tegal,Surabaya,TRUK,1,15
Tegal,Jember,TRUK,1,15
Tegal,Jakarta,KRTA,1,2
Tegal,Cirebon,KRTA,1,2
Ternate,Jakarta,KPNG,1,6
Ternate,Surabaya,KPNG,1,6
Ternate,Makassar,KPNG,1,6
Ternate,Ambon,KPNG,1,6
Ternate,Manado,KPNG,1,6
Yogyakarta,Serang,TRUK,1,15
Yogyakarta,Jakarta,TRUK,1,15
Yogyakarta,Bandung,TRUK,1,15
Yogyakarta,Tasikmalaya,TRUK,1,15
Yogyakarta,Cirebon,TRUK,1,15
Yogyakarta,Tegal,TRUK,1,15
Yogyakarta,Purwokerto,TRUK,1,15
Yogyakarta,Semarang,TRUK,1,15
Yogyakarta,Solo,TRUK,1,15
Yogyakarta,Kediri,TRUK,1,15
Yogyakarta,Malang,TRUK,1,15
Yogyakarta,Surabaya,TRUK,1,15
Yogyakarta,Jember,TRUK,1,15
Yogyakarta,Jakarta,KRTA,1,2
Yogyakarta,Surabaya,KRTA,1,2
Yogyakarta,Purwokerto,KRTA,1,2
Yogyakarta,Cirebon,KRTA,1,2
Yogyakarta,Solo,KRTA,1,2
Yogyakarta,Malang,KRTA,1,2
Yogyakarta,Kediri,KRTA,1,2
